timestamp_s,power_w,sm_clock_mhz,utilization_pct
1779088741.685349,66.01,1140,0
1779088741.789056,66.01,1140,0
1779088741.892213,66.94,1140,0
1779088741.995457,108.62,1140,29
1779088742.098653,191.72,1140,29
1779088742.202219,246.95,1410,62
1779088742.305339,266.36,1410,62
1779088742.408425,345.76,1410,82
1779088742.512893,271.00,1410,86
1779088742.616507,253.14,1410,86
1779088742.719578,265.75,1410,85
1779088742.822729,262.05,1410,85
1779088742.978859,448.67,1320,89
1779088743.085486,265.42,1410,89
1779088743.188691,272.83,1410,85
1779088743.291862,270.67,1410,85
1779088743.395012,327.36,1410,82
1779088743.498199,258.67,1410,82
1779088743.601940,273.16,1410,87
1779088743.705131,277.14,1410,87
1779088743.808681,277.75,1410,83
1779088743.911805,370.30,1410,83
1779088744.015028,258.34,1410,87
1779088744.118103,261.77,1410,87
1779088744.221308,258.06,1395,86
1779088744.325110,262.65,1410,84
1779088744.428591,401.45,1410,84
1779088744.531769,262.05,1410,86
1779088744.634929,256.18,1410,86
1779088744.738163,283.89,1410,84
1779088744.841319,281.46,1410,84
1779088744.944468,283.28,1410,84
1779088745.047796,270.34,1410,84
1779088745.152412,274.04,1410,85
1779088745.255588,294.67,1410,85
1779088745.358793,287.92,1395,83
1779088745.462170,423.93,1395,83
1779088745.565413,283.61,1410,85
1779088745.669222,279.57,1350,85
1779088745.773639,261.43,1395,90
1779088745.877320,451.15,1410,90
1779088745.980889,394.05,1335,90
1779088746.084183,263.59,1395,90
1779088746.187299,411.28,1365,95
1779088746.290629,269.45,1395,95
1779088746.393774,433.94,1380,93
1779088746.497026,280.51,1395,93
1779088746.600199,277.14,1410,91
1779088746.704041,296.83,1395,91
1779088746.807332,282.39,1410,91
1779088746.911573,413.77,1395,91
1779088747.014797,271.89,1410,92
1779088747.118023,348.24,1380,92
1779088747.221354,403.00,1380,93
1779088747.324582,256.51,1410,93
1779088747.428134,431.18,1335,91
1779088747.535542,264.54,1395,91
1779088747.640808,295.31,1380,93
1779088747.744024,283.61,1395,93
1779088747.847218,272.49,1410,92
1779088748.013778,420.51,1335,95
1779088748.117720,377.47,1365,95
1779088748.226014,287.32,1410,94
1779088748.329115,282.39,1410,94
1779088748.432327,308.83,1410,90
1779088748.535468,256.51,1410,90
1779088748.638574,390.67,1380,90
1779088748.742514,283.61,1395,90
1779088748.845702,262.65,1410,92
1779088748.955181,303.91,1410,92
1779088749.058437,276.53,1410,91
1779088749.161725,401.45,1395,88
1779088749.265835,297.16,1410,88
1779088749.371014,292.52,1395,90
1779088749.474188,283.89,1410,90
1779088749.577447,262.65,1410,90
1779088749.680652,363.32,1410,90
1779088749.783848,289.48,1410,91
1779088749.887017,264.20,1380,91
1779088749.990998,340.24,1395,91
1779088750.094206,286.99,1410,91
1779088750.197379,420.08,1350,93
1779088750.300578,407.92,1395,93
1779088750.403725,298.38,1395,93
1779088750.506776,288.20,1410,93
1779088750.610308,300.87,1410,89
1779088750.713300,306.40,1410,89
1779088750.816859,271.61,1410,91
1779088750.921969,309.17,1395,91
1779088751.025053,266.36,1410,90
1779088751.128118,406.70,1410,90
1779088751.231253,282.68,1410,90
1779088751.334368,300.87,1410,90
1779088751.437434,308.55,1380,91
1779088751.540638,296.22,1410,91
1779088751.644366,407.30,1395,90
1779088751.748598,293.79,1395,90
1779088751.851628,309.50,1410,92
1779088751.954762,399.90,1350,92
1779088752.058020,305.46,1395,95
1779088752.161135,427.91,1365,95
1779088752.264307,311.32,1395,92
1779088752.367339,261.10,1410,92
1779088752.471224,256.79,1395,82
1779088752.575978,298.10,1410,82
1779088752.681863,338.75,1395,85
1779088752.784999,292.52,1410,85
1779088752.888031,308.24,1380,90
1779088752.991142,288.87,1395,90
1779088753.094200,311.32,1410,90
1779088753.198152,326.37,1410,90
1779088753.301341,318.68,1410,90
1779088753.404634,281.73,1395,89
1779088753.507822,310.99,1410,89
1779088753.610984,319.29,1380,89
1779088753.714124,325.20,1410,89
1779088753.817307,315.64,1410,90
1779088753.920434,317.79,1365,90
1779088754.024283,414.05,1395,95
1779088754.134024,320.84,1350,95
1779088754.237240,416.53,1395,93
1779088754.341416,316.86,1410,93
1779088754.444380,404.21,1350,92
1779088754.547495,321.17,1395,92
1779088754.651251,321.78,1395,91
1779088754.754277,321.77,1410,91
1779088754.858657,405.23,1395,90
1779088754.961901,302.69,1395,90
1779088755.065016,287.32,1410,92
1779088755.168168,410.07,1335,92
1779088755.271472,307.02,1395,91
1779088755.374672,406.36,1380,91
1779088755.478648,284.22,1395,92
1779088755.581796,303.91,1410,92
1779088755.685049,328.85,1395,90
1779088755.788124,289.14,1410,90
1779088755.891232,438.36,1350,90
1779088755.994502,284.84,1395,90
1779088756.097731,313.48,1410,91
1779088756.201240,325.48,1395,91
1779088756.305096,283.61,1410,91
1779088756.416814,426.87,1395,91
1779088756.520177,299.02,1410,90
1779088756.623430,319.95,1380,91
1779088756.726623,325.48,1395,91
1779088756.830674,325.48,1410,90
1779088756.934409,425.42,1350,90
1779088757.037657,317.46,1395,92
1779088757.140804,332.56,1320,92
1779088757.244000,395.31,1395,93
1779088757.347147,304.51,1410,93
1779088757.450350,426.09,1395,91
1779088757.553494,318.07,1410,91
1779088757.656756,326.70,1320,91
1779088757.760600,400.51,1380,91
1779088757.868349,328.52,1350,89
1779088757.971714,324.54,1395,89
1779088758.075398,278.36,1410,85
1779088758.178524,405.43,1365,85
1779088758.281693,328.58,1395,94
1779088758.385195,427.91,1335,94
1779088758.512030,257.45,1320,95
1779088758.617302,336.53,1380,95
1779088758.720529,340.23,1395,89
1779088758.823643,343.00,1410,89
1779088758.926877,413.02,1395,88
1779088759.030025,291.90,1410,88
1779088759.133160,336.53,1380,93
1779088759.238974,395.92,1350,93
1779088759.348935,330.73,1410,94
1779088759.509916,424.21,1320,95
1779088759.613185,377.14,1350,95
1779088759.716503,337.47,1395,96
1779088759.819652,342.06,1410,96
1779088759.922871,427.48,1335,89
1779088760.026826,318.73,1395,89
1779088760.134175,346.36,1365,91
1779088760.237457,330.68,1395,91
1779088760.340700,329.79,1410,90
1779088760.443892,324.54,1395,90
1779088760.547065,290.97,1410,92
1779088760.650242,436.37,1350,92
1779088760.756311,329.80,1395,93
1779088760.869636,311.94,1395,90
1779088760.972876,411.01,1395,90
1779088761.076259,331.95,1410,91
1779088761.180285,445.76,1320,91
1779088761.284788,295.94,1395,94
1779088761.387947,326.09,1365,94
1779088761.491234,329.80,1395,92
1779088761.594399,295.61,1410,92
1779088761.697574,428.09,1395,88
1779088761.800714,345.15,1410,88
1779088761.903865,333.50,1365,86
1779088762.007176,331.28,1395,86
1779088762.110955,327.30,1410,87
1779088762.215560,426.87,1395,87
1779088762.318686,333.44,1410,91
1779088762.422019,377.75,1320,91
1779088762.526375,309.18,1395,94
1779088762.629881,408.71,1365,94
1779088762.733328,339.62,1395,92
1779088762.836699,358.41,1410,92
1779088762.940583,357.71,1395,90
1779088763.043708,353.74,1410,90
1779088763.146801,424.28,1380,88
1779088763.250172,348.77,1395,88
1779088763.353376,393.36,1380,92
1779088763.456526,339.02,1395,92
1779088763.559702,346.95,1410,92
1779088763.662863,440.39,1350,92
1779088763.766059,320.23,1395,90
1779088763.869363,362.29,1410,90
1779088763.973277,315.32,1380,92
1779088764.076486,352.19,1410,92
1779088764.179711,423.68,1335,90
1779088764.283016,343.86,1395,90
1779088764.386236,439.01,1320,94
1779088764.489527,397.67,1320,94
1779088764.592747,308.54,1395,98
1779088764.695996,406.75,1380,98
1779088764.799189,312.84,1410,93
1779088764.902755,444.52,1320,93
1779088765.015826,342.65,1395,90
1779088765.121532,327.58,1380,90
1779088765.224707,419.04,1395,90
1779088765.327993,305.78,1410,92
1779088765.431756,442.09,1320,92
1779088765.536685,322.66,1395,92
1779088765.640208,321.45,1350,92
1779088765.743383,415.35,1380,94
1779088765.846521,348.17,1380,94
1779088765.949736,414.14,1395,92
1779088766.052959,343.86,1410,92
1779088766.156164,319.30,1350,90
1779088766.259866,413.53,1395,90
1779088766.369430,342.04,1350,90
1779088766.473181,456.82,1395,90
1779088766.576309,345.38,1410,91
1779088766.679415,411.05,1335,91
1779088766.782532,404.60,1335,96
1779088766.885755,411.99,1320,96
1779088766.989475,345.41,1395,94
1779088767.097064,332.21,1395,94
1779088767.200161,284.25,1395,91
1779088767.303230,353.98,1410,91
1779088767.406452,442.24,1290,89
1779088767.509683,407.69,1305,89
1779088767.612936,340.82,1395,98
1779088767.716580,404.93,1335,98
1779088767.822769,351.50,1395,96
1779088767.925956,423.68,1305,96
1779088768.029219,292.53,1395,91
1779088768.132415,361.65,1365,91
1779088768.235592,404.93,1365,92
1779088768.338814,335.25,1395,92
1779088768.441987,422.14,1350,92
1779088768.555565,299.64,1395,92
1779088768.658839,448.21,1320,92
1779088768.762366,300.53,1395,92
1779088768.865561,369.64,1410,92
1779088768.968827,428.58,1395,92
1779088769.072581,365.61,1410,92
1779088769.181489,418.44,1365,89
1779088769.285450,309.75,1395,89
1779088769.389148,362.02,1335,92
1779088769.492444,415.35,1395,92
1779088769.595743,373.95,1410,91
